,Unnamed: 0,index,id,name,target,enzyme,smile_string,smile,gene,disease
0,0,0,DB01050,Ibuprofen,P35354|P23219|P10415|P07204|P12104|P37231|P13569|Q07869|P07359|P31151,P11712|P10632|P33261|P35503|O60656|P06133|P16662|D6RB81|P08684,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,1|79|80|283|310|389|650|807|854|857|900|921|955|1057|1146|1257|1365|1380|1750|1754|1844|1847|1853|1873|1917,CXCL8|CXCR1|CYP1A2|TARDBP|UGT2B4|CYP2D6|UGT2B17|ABCB1|UGT1A3|CYP2C8|UGT2B7|CYP2C9|PTGS2|PTGS1|CYP2C19|NOS2|CXCR2|HPGD|CYP3A4|NOS3|CYP19A1|PIK3CA|NOS1|UGT1A9|FAAH|DDIT3|APC|AMACR|VHL|PTGER1|IFNG|PTGER4|TARDBP|PTGS2,MESH:D015746|MESH:D000014|MESH:D000141|MESH:D020083|MESH:D054058|MESH:D058186|MESH:D000230|MESH:D000380|MESH:D000544|MESH:D000707|MESH:D000741|MESH:D000743|MESH:D000744|MESH:D000799|MESH:D001145|MESH:D018771|MESH:D001168|MESH:D001169|MESH:D001249|MESH:D001281|MESH:D053099|MESH:D001416|MESH:D001649|MESH:D001768|MESH:D001862|MESH:D001927|MESH:D002545|MESH:D002100|MESH:D002375|MESH:D002543|MESH:D056486|MESH:D002761|MESH:D002779|MESH:D002780|MESH:D017091|MESH:D015179|MESH:D003117|MESH:D003128|MESH:D003229|MESH:D003231|MESH:D003251|MESH:D003550|MESH:D003693|MESH:D017453|MESH:D004172|MESH:D004195|MESH:D004211|MESH:D003875|MESH:D064420|MESH:D004374|MESH:D004487|MESH:D004696|MESH:D004715|MESH:D019446|MESH:D004802|MESH:D005094|MESH:D005234|MESH:D005317|MESH:D005311|MESH:D005334|MESH:D005756|MESH:D005767|MESH:D006471|MESH:D005891|MESH:D015433|MESH:D005923|MESH:D006261|MESH:D006319|MESH:D006331|MESH:D006345|MESH:D006463|MESH:D006470|MESH:D006505|MESH:D006930|MESH:D006947|MESH:D006969|MESH:D006973|MESH:D006976|MESH:D006984|MESH:D007008|MESH:D007010|MESH:D007022|MESH:D007235|MESH:D007249|MESH:D041781|MESH:D007673|MESH:D007674|MESH:D007676|MESH:D007681|MESH:D007683|MESH:D008106|MESH:D017093|MESH:D017114|MESH:D017116|MESH:D008180|MESH:D008206|MESH:D008325|MESH:D008439|MESH:D008569|MESH:D008580|MESH:D008581|MESH:D008582|MESH:D008590|MESH:D008881|MESH:D009069|MESH:D009135|MESH:D009139|MESH:D015878|MESH:D009203|MESH:D009325|MESH:D009336|MESH:D009374|MESH:D009395|MESH:D009400|MESH:D009402|MESH:D009404|MESH:D009410|MESH:D019965|MESH:D009846|MESH:D010003|MESH:D015207|MESH:D010019|MESH:D010146|MESH:D010149|MESH:D010190|MESH:D010437|MESH:D010490|MESH:D010996|MESH:D011471|MESH:D011507|MESH:D011605|MESH:D011782|MESH:D051437|MESH:D012120|MESH:D012594|MESH:D012640|MESH:D012772|MESH:D013167|MESH:D013262|MESH:D013276|MESH:D020521|MESH:D013610|MESH:D013921|MESH:D013927|MESH:D014012|MESH:D014456|MESH:D016055|MESH:D014555|MESH:D014581|MESH:D018366|MESH:D020301|MESH:D015837|MESH:D020338|MESH:D014786
1,4,1,DB00586,Diclofenac,P35354|P23219,P11712|P33261|P05177|P10632|P16662|P08684|P20813|P33260|P05181|P35503|O60656|P06133|P09917|P14555,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,80|325|342|366|381|389|491|561|650|701|807|914|974|1039|1088|1152|1199|1224|1349|1380|1407|1579|1597|1674|1683|1696|1737|1750|1873|1917|2000,CYP3A4|CYP1A2|CYP2C9|UGT1A6|PTGS2|UGT1A10|CYP2C19|CYP2D6|PTGS1|DDIT3|CYP2J2|MPO|PLCG1|PRL|GGT1|TNFRSF11A|CCL17|GDF15|PLA2G4A|ANPEP|ALB,MESH:D015746|MESH:D000015|MESH:D000138|MESH:D058186|MESH:D059787|MESH:D000647|MESH:D019969|MESH:D000707|MESH:D000741|MESH:D000743|MESH:D000744|MESH:D018798|MESH:D000787|MESH:D000799|MESH:D000855|MESH:D001002|MESH:D001168|MESH:D001169|MESH:D015210|MESH:D015535|MESH:D001172|MESH:D001201|MESH:D053099|MESH:D001424|MESH:D001768|MESH:D001919|MESH:D001927|MESH:D002177|MESH:D002289|MESH:D009202|MESH:D002318|MESH:D056486|MESH:D056487|MESH:D002637|MESH:D041761|MESH:D002779|MESH:D003110|MESH:D003248|MESH:D003329|MESH:D003693|MESH:D003711|MESH:D017453|MESH:D003882|MESH:D003967|MESH:D015299|MESH:D004244|MESH:D003875|MESH:D004342|MESH:D064420|MESH:D004401|MESH:D004412|MESH:D004415|MESH:D004417|MESH:D004487|MESH:D004696|MESH:D004802|MESH:D004831|MESH:D004830|MESH:D004890|MESH:D004935|MESH:D005076|MESH:D005131|MESH:D005221|MESH:D005234|MESH:D005334|MESH:D005414|MESH:D005756|MESH:D005767|MESH:D006471|MESH:D005902|MESH:D005921|MESH:D015433|MESH:D006073|MESH:D006261|MESH:D006333|MESH:D006456|MESH:D006461|MESH:D006501|MESH:D048550|MESH:D006521|MESH:D006529|MESH:D006930|MESH:D006947|MESH:D006973|MESH:D007035|MESH:D011695|MESH:D007177|MESH:D007249|MESH:D007410|MESH:D007565|MESH:D007579|MESH:D055623|MESH:D007674|MESH:D007683|MESH:D008103|MESH:D008107|MESH:D017114|MESH:D017116|MESH:D008180|MESH:D008582|MESH:D009102|MESH:D009135|MESH:D009203|MESH:D009207|MESH:D009212|MESH:D009325|MESH:D009336|MESH:D009393|MESH:D009395|MESH:D009402|MESH:D009404|MESH:D009422|MESH:D009421|MESH:D009437|MESH:D009447|MESH:D059226|MESH:D009798|MESH:D009846|MESH:D010003|MESH:D010019|MESH:D010146|MESH:D010149|MESH:D010437|MESH:D011041|MESH:D019106|MESH:D011297|MESH:D049188|MESH:D011507|MESH:D011537|MESH:D055665|MESH:D011696|MESH:D011782|MESH:D051437|MESH:D012202|MESH:D012206|MESH:D012216|MESH:D012640|MESH:D012769|MESH:D012871|MESH:D013167|MESH:D013262|MESH:D013272|MESH:D013276|MESH:D020521|MESH:D013921|MESH:D013923|MESH:D013927|MESH:D057049|MESH:D014456|MESH:D014474|MESH:D014555|MESH:D014581|MESH:D020246|MESH:D014839|MESH:D015431
2,6,2,DB00836,Loperamide,P35372|P41143|P41145|O00555|P01189|P0DP23|Q14994,P08684|P10632|P20813|P10635,CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1,41|80|114|216|270|389|408|484|556|561|650|807|816|881|914|926|935|1057|1060|1070|1088|1130|1145|1154|1156|1162|1163|1199|1280|1308|1380|1417|1480|1482|1626|1653|1657|1683|1717|1750|1791|1873|1917|1977|2017|2041|2046,AR|ABCB1|CYP3A4|OPRM1|OPRD1|MTOR|CYP2D6|TSHR|TP53|TEK,MESH:D015746|MESH:D066126|MESH:D003093|MESH:D003248|MESH:D018352|MESH:D003693|MESH:D003967|MESH:D064420|MESH:D004487|MESH:D004489|MESH:D005759|MESH:D006261|MESH:D009336|MESH:D009422|MESH:D012640|MESH:D013262|MESH:D014474|MESH:D016055|MESH:D015431
3,8,3,DB00757,Dolasetron,P46098,P08684|P10635|P11712,[H][C@@]1(C[C@@]2([H])C[C@]3([H])C[C@@]([H])(C1)N2CC3=O)OC(=O)C1=CNC2=C1C=CC=C2,2|5|12|119|145|155|314|328|370|473|650|695|758|806|807|926|935|1019|1071|1088|1114|1126|1199|1292|1302|1357|1380|1573|1642|1679|1681|1750|1783|1834|1873|1879|1910|1916|1917|1937|1946|1991|2000|2010,HTR3A|HTR3B|CYP3A4|HTR3C|HTR3E|HTR3D|NOS1AP|KCNQ1,MESH:D003329|MESH:D006261|MESH:D006327|MESH:D008133|MESH:D009203|MESH:D009325|MESH:D020250|MESH:D014839
4,10,4,DB09285,Morniflumate,P09917|P35354|Q15722|P21731,P09917|P35354|O60656,FC(F)(F)C1=CC(NC2=C(C=CC=N2)C(=O)OCCN2CCOCC2)=CC=C1,13|79|80|114|145|147|157|191|329|378|448|491|523|533|650|656|664|695|703|708|807|809|875|888|926|935|950|990|1039|1043|1088|1145|1152|1260|1380|1405|1417|1441|1447|1452|1453|1480|1482|1522|1582|1592|1673|1750|1791|1849|1866|1873|1917|1928|1991|2017,NFE2L2,MESH:D003875|MESH:D014581
5,11,5,DB00598,Labetalol,P08588|P07550|P35348|P35368|P25100,P10635|P33261|P22309|P16662|O60656,CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,1|80|140|227|283|309|389|516|606|632|650|732|739|782|807|875|949|1004|1045|1057|1066|1088|1134|1152|1171|1199|1211|1243|1362|1365|1368|1380|1434|1475|1597|1602|1607|1750|1754|1839|1853|1873|1917|1991|2018,ADRB2|ADRB1|CYP1A2|LPL|CYP2C9|CYP2C19|CYP3A4|ADRA1A|CYP2D6|ADRA1B|HPSE|GJA1,MESH:D054058|MESH:D058186|MESH:D000787|MESH:D001014|MESH:D001145|MESH:D001281|MESH:D054537|MESH:D001289|MESH:D001919|MESH:D001986|MESH:D006332|MESH:D002318|MESH:D056486|MESH:D002637|MESH:D003329|MESH:D016757|MESH:D003967|MESH:D004244|MESH:D004342|MESH:D000075222|MESH:D005076|MESH:D005221|MESH:D005767|MESH:D006261|MESH:D006323|MESH:D006331|MESH:D006333|MESH:D006470|MESH:D006966|MESH:D006973|MESH:D046110|MESH:D006977|MESH:D020343|MESH:D007003|MESH:D007022|MESH:D007024|MESH:D007232|MESH:D020299|MESH:D007511|MESH:D002546|MESH:D008107|MESH:D009135|MESH:D017202|MESH:D009325|MESH:D009336|MESH:D010291|MESH:D010292|MESH:D010490|MESH:D010673|MESH:D011141|MESH:D011225|MESH:D012206|MESH:D013345|MESH:D013375|MESH:D013575|MESH:D013610|MESH:D017180|MESH:D013742|MESH:D014202|MESH:D016055|MESH:D014555|MESH:D018879
6,13,6,DB00502,Haloperidol,P14416|P21728|Q13224|P28223|P35462|Q99705|Q05940|P28335|Q99720|P35367|P20309|P35348|P08913|P18089|P18825|P08908|P50406|P34969,P20815|P24462|P05177|P10635|P08684|P16152|O60656|P33261|P11712|P04798,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,80|90|216|408|484|556|561|650|653|699|807|816|926|935|1058|1060|1070|1145|1154|1156|1162|1280|1380|1385|1410|1451|1480|1482|1564|1618|1670|1683|1693|1697|1717|1750|1791|1873|1911|1917|1928|1977|2045,CYP3A4|GRIA1|DRD2|DRD1|AR|MTOR|HTR3E|PLEKHA6|HTR2C|ABCB5|SLC6A4|ABCB1|CYP3A5|CYP2D6|HTR3A|GMNN|GRIN2A|HTR2A|DRD3|IL1RN|HSPA4|GRIN1|DTNBP1|KCNH2|DPP6|HOMER1|SLC6A5|RYR1|MC4R|GRIK4|CACNA1C|EPM2A|SLC6A3|AKAP13|COMT|NTS|GRIN2B|ZIC4|HSPG2|MAOB|RGS2|ANKK1|LDLR|ARID5B|DRD4|SIGMAR1|NKX6-1|TOR1A|RTKN2|EIF2AK4|BDNF|TP53|NR4A1|TAC1|MAPK14|NT5E|NPY|DLG4|CNR1|ANPEP|CAMK2G|FAAH|SLC1A1|SLC2A4,MESH:D000014|MESH:D058186|MESH:D000341|MESH:D000402|MESH:D017109|MESH:D000405|MESH:D000430|MESH:D000544|MESH:D000647|MESH:D019969|MESH:D001008|MESH:D001072|MESH:D001145|MESH:D001259|MESH:D001321|MESH:D001480|MESH:D001714|MESH:D001763|MESH:D001764|MESH:D001919|MESH:D001927|MESH:D001929|MESH:D002375|MESH:D002385|MESH:D002389|MESH:D002526|MESH:D056486|MESH:D002653|MESH:D002780|MESH:D002819|MESH:D019970|MESH:D003072|MESH:D003128|MESH:D019955|MESH:D003221|MESH:D003244|MESH:D016757|MESH:D003680|MESH:D003693|MESH:D003704|MESH:D003866|MESH:D003865|MESH:D003919|MESH:D004195|MESH:D006970|MESH:D004211|MESH:D064420|MESH:D004401|MESH:D004409|MESH:D020820|MESH:D004417|MESH:D020920|MESH:D004421|MESH:D004422|MESH:D020821|MESH:D004827|MESH:D004832|MESH:D004830|MESH:D007172|MESH:D005221|MESH:D005334|MESH:D005687|MESH:D006212|MESH:D006261|MESH:D006323|MESH:D006333|MESH:D006429|MESH:D006561|MESH:D006948|MESH:D006966|MESH:D006973|MESH:D007008|MESH:D018476|MESH:D007010|MESH:D007022|MESH:D007035|MESH:D007177|MESH:D007674|MESH:D007818|MESH:D007826|MESH:D007859|MESH:D007970|MESH:D008064|MESH:D008107|MESH:D008133|MESH:D008538|MESH:D008569|MESH:D001523|MESH:D015877|MESH:D019964|MESH:D009069|MESH:D009120|MESH:D009122|MESH:D009127|MESH:D009205|MESH:D009207|MESH:D009212|MESH:D009336|MESH:D009357|MESH:D009422|MESH:D009436|MESH:D019954|MESH:D009459|MESH:D015835|MESH:D010146|MESH:D010259|MESH:D010302|MESH:D020734|MESH:D010409|MESH:D010468|MESH:D010490|MESH:D010554|MESH:D010608|MESH:D010698|MESH:D011297|MESH:D011595|MESH:D011596|MESH:D011605|MESH:D011618|MESH:D051437|MESH:D012128|MESH:D012206|MESH:D012559|MESH:D012562|MESH:D012563|MESH:D019967|MESH:D012640|MESH:D020018|MESH:D012798|MESH:D020178|MESH:D020919|MESH:D007319|MESH:D013226|MESH:D019956|MESH:D013272|MESH:D013276|MESH:D053608|MESH:D019966|MESH:D013375|MESH:D013575|MESH:D013610|MESH:D013616|MESH:D017180|MESH:D000071057|MESH:D013921|MESH:D013981|MESH:D020323|MESH:D016171|MESH:D014103|MESH:D005879|MESH:D014202|MESH:D016055|MESH:D014555|MESH:D018366|MESH:D020301|MESH:D018487|MESH:D014693|MESH:D014839|MESH:D014987
7,14,7,DB11828,Neratinib,P00533,P08684|P31513,CCOC1=C(NC(=O)\C=C\CN(C)C)C=C2C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C(C=NC2=C1)C#N,31|80|94|168|172|191|237|249|294|329|361|366|378|381|425|448|491|561|650|652|673|674|694|695|724|745|777|780|790|807|843|848|875|881|961|969|974|991|1015|1057|1058|1088|1097|1110|1136|1152|1153|1155|1163|1181|1199|1224|1226|1238|1249|1329|1356|1357|1380|1384|1443|1452|1465|1482|1498|1535|1581|1683|1750|1816|1862|1864|1866|1873|1917|1918|1970|1996,EGFR|ERBB2|YES1|KRAS|ESR2|PIK3CA|PGR|KDR|ESR1|HERC2|BRAF,MESH:D008175
8,17,8,DB00745,Modafinil,Q01959|P35368,P33261|P08684|P05177|P20813|P11712|P20815,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,1|80|101|140|389|427|650|685|807|1058|1088|1171|1199|1265|1333|1365|1380|1524|1581|1606|1609|1720|1750|1873|1898|1917,CYP2C9|CYP3A5|ABCB1|CYP3A4|CYP2D6|CYP1A2|CYP2C19|NR1I2|SLC6A3|COMT|ADRA1D|SLC6A3,MESH:D019969|MESH:D001008|MESH:D001145|MESH:D001289|MESH:D001714|MESH:D001862|MESH:D002637|MESH:D002819|MESH:D019970|MESH:D003072|MESH:D003221|MESH:D003866|MESH:D003865|MESH:D006970|MESH:D004244|MESH:D019263|MESH:D005221|MESH:D005334|MESH:D005715|MESH:D006212|MESH:D006261|MESH:D006948|MESH:D006973|MESH:D017114|MESH:D009290|MESH:D009325|MESH:D010698|MESH:D011595|MESH:D012559|MESH:D012640|MESH:D012892|MESH:D012893|MESH:D013262|MESH:D013375|MESH:D019969|MESH:D001008|MESH:D001145|MESH:D001289|MESH:D001714|MESH:D001862|MESH:D002637|MESH:D002819|MESH:D019970|MESH:D003072|MESH:D003221|MESH:D003866|MESH:D003865|MESH:D006970|MESH:D004244|MESH:D019263|MESH:D005221|MESH:D005334|MESH:D005715|MESH:D006212|MESH:D006261|MESH:D006948|MESH:D006973|MESH:D017114|MESH:D009290|MESH:D009325|MESH:D010698|MESH:D011595|MESH:D012559|MESH:D012640|MESH:D012892|MESH:D012893|MESH:D013262|MESH:D013375
9,21,9,DB00295,Morphine,P35372|P41145|P41143|Q9Y6Y9,P10632|P08684|P16662|P22309|Q9HAW9|P54855|P06133|P35503,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,67|77|211|231|296|311|413|486|497|554|569|580|583|656|705|750|807|873|926|935|940|1019|1039|1057|1060|1083|1145|1162|1171|1174|1236|1257|1294|1380|1432|1475|1480|1557|1602|1607|1622|1671|1689|1750|1873|1980,UGT2B7|GRIN1|OPRD1|OPRM1|SULT1A4|ABCC3|SYP|ABCB1|OPRK1|CYP2D6|NR4A1|TAOK3|HMOX2|COMT|CCR2|PDYN|CCKBR|RHBDF2|MAPK14|DRD2|ITGAM|SLC6A4|PER1|GRM1|IL1B|TBXA2R|KCNJ6|LPAR2|SLC22A1|F2R|GCG|AR|CYP2D6|TP53|DRD3|MAPT|VDR|CYP1A2|DRD2|DRD1|DRD5|EHMT2|HSD17B10|DRD4|CALY|CYP2D6,MESH:D015746|MESH:D000014|MESH:D000142|MESH:D056586|MESH:D058186|MESH:D000219|MESH:D000307|MESH:D019973|MESH:D000647|MESH:D000707|MESH:D000855|MESH:D001002|MESH:D001008|MESH:D001049|MESH:D001145|MESH:D001281|MESH:D054537|MESH:D001284|MESH:D001416|MESH:D001480|MESH:D001714|MESH:D001919|MESH:D001927|MESH:D002545|MESH:D002056|MESH:D002194|MESH:D002311|MESH:D002375|MESH:D002389|MESH:D056486|MESH:D002637|MESH:D002764|MESH:D002769|MESH:D002779|MESH:D003072|MESH:D003110|MESH:D003128|MESH:D003137|MESH:D020918|MESH:D003221|MESH:D003244|MESH:D003248|MESH:D003327|MESH:D003371|MESH:D055191|MESH:D003693|MESH:D003731|MESH:D003866|MESH:D003919|MESH:D003967|MESH:D004108|MESH:D004172|MESH:D018450|MESH:D006970|MESH:D004213|MESH:D004244|MESH:D004342|MESH:D062787|MESH:D064420|MESH:D004409|MESH:D004417|MESH:D004487|MESH:D004673|MESH:D004831|MESH:D004827|MESH:D004830|MESH:D005076|MESH:D005094|MESH:D005157|MESH:D005221|MESH:D005242|MESH:D005334|MESH:D042882|MESH:D005767|MESH:D006099|MESH:D006212|MESH:D006261|MESH:D006331|MESH:D006417|MESH:D006429|MESH:D006470|MESH:D006501|MESH:D006526|MESH:D006556|MESH:D006560|MESH:D006606|MESH:D006819|MESH:D006869|MESH:D006930|MESH:D006935|MESH:D006940|MESH:D006941|MESH:D006948|MESH:D006973|MESH:D006987|MESH:D007006|MESH:D007008|MESH:D018476|MESH:D007018|MESH:D007022|MESH:D007024|MESH:D007035|MESH:D000860|MESH:D002534|MESH:D019586|MESH:D007674|MESH:D048949|MESH:D007826|MESH:D007859|MESH:D053609|MESH:D017116|MESH:D008175|MESH:D008305|MESH:D008569|MESH:D015877|MESH:D009021|MESH:D009069|MESH:D052016|MESH:D009120|MESH:D009122|MESH:D009123|MESH:D009127|MESH:D009128|MESH:D018908|MESH:D015878|MESH:D009203|MESH:D017202|MESH:D015428|MESH:D009207|MESH:D009290|MESH:D009325|MESH:D009336|MESH:D009357|MESH:D009422|MESH:D009437|MESH:D009436|MESH:D020258|MESH:D059226|MESH:D009759|MESH:D009846|MESH:D009293|MESH:D010146|MESH:D010148|MESH:D010149|MESH:D010243|MESH:D010259|MESH:D020335|MESH:D020336|MESH:D010291|MESH:D010523|MESH:D010538|MESH:D010554|MESH:D011041|MESH:D020250|MESH:D011297|MESH:D011537|MESH:D011595|MESH:D011596|MESH:D011605|MESH:D011654|MESH:D011681|MESH:D012021|MESH:D051437|MESH:D015427|MESH:D012120|MESH:D012131|MESH:D012206|MESH:D012585|MESH:D012640|MESH:D012769|MESH:D020182|MESH:D020181|MESH:D012892|MESH:D012893|MESH:D013035|MESH:D013064|MESH:D046628|MESH:D013117|MESH:D013118|MESH:D013203|MESH:D013226|MESH:D019956|MESH:D053608|MESH:D019966|MESH:D013375|MESH:D013610|MESH:D013705|MESH:D018677|MESH:D016388|MESH:D014474|MESH:D053201|MESH:D014549|MESH:D016055|MESH:D014555|MESH:D018487|MESH:D018879|MESH:D014717|MESH:D014786|MESH:D014839|MESH:D015431|MESH:D014987
