,index,mechanism,action,drugA,drugB
2,2,The risk or severity of bleeding and hemorrhage,increase,Dasatinib,Bivalirudin
3,3,The risk or severity of bleeding and hemorrhage,increase,Ibrutinib,Bivalirudin
9,9,The risk or severity of bleeding,increase,Ifosfamide,Bivalirudin
15,15,the anticoagulant activities,decrease,Diethylstilbestrol,Bivalirudin
17,17,the anticoagulant activities,decrease,Estradiol,Bivalirudin
19,19,the anticoagulant activities,decrease,Mestranol,Bivalirudin
26,26,The risk or severity of bleeding and hemorrhage,increase,Indomethacin,Bivalirudin
27,27,The risk or severity of bleeding and hemorrhage,increase,Nabumetone,Bivalirudin
30,30,The risk or severity of bleeding and hemorrhage,increase,Celecoxib,Bivalirudin
35,35,The risk or severity of bleeding and hemorrhage,increase,Diclofenac,Bivalirudin
37,37,The risk or severity of bleeding and hemorrhage,increase,Flurbiprofen,Bivalirudin
38,38,The risk or severity of bleeding and hemorrhage,increase,Etodolac,Bivalirudin
40,40,The risk or severity of bleeding and hemorrhage,increase,Naproxen,Bivalirudin
42,42,The risk or severity of bleeding and hemorrhage,increase,Meloxicam,Bivalirudin
43,43,The risk or severity of bleeding and hemorrhage,increase,Diflunisal,Bivalirudin
45,45,The risk or severity of bleeding and hemorrhage,increase,Ketoprofen,Bivalirudin
46,46,The risk or severity of bleeding and hemorrhage,increase,Balsalazide,Bivalirudin
47,47,The risk or severity of bleeding and hemorrhage,increase,Lumiracoxib,Bivalirudin
49,49,The risk or severity of bleeding and hemorrhage,increase,Etoricoxib,Bivalirudin
55,55,The risk or severity of bleeding and hemorrhage,increase,Lornoxicam,Bivalirudin
56,56,The risk or severity of bleeding and hemorrhage,increase,Aceclofenac,Bivalirudin
61,61,The risk or severity of bleeding and hemorrhage,increase,Morniflumate,Bivalirudin
64,64,the anticoagulant activities,increase,Carbimazole,Bivalirudin
66,66,the anticoagulant activities,increase,Methimazole,Bivalirudin
67,67,The therapeutic efficacy,decrease,Bivalirudin,Mifepristone
69,69,the anticoagulant activities,decrease,Etonogestrel,Bivalirudin
72,72,the anticoagulant activities,decrease,Levonorgestrel,Bivalirudin
82,82,the anticoagulant activities,decrease,Gestodene,Bivalirudin
84,84,the anticoagulant activities,decrease,Dienogest,Bivalirudin
93,93,The risk or severity of bleeding,increase,Anagrelide,Bivalirudin
94,94,The risk or severity of bleeding,increase,Clopidogrel,Bivalirudin
96,96,The risk or severity of bleeding,increase,Cilostazol,Bivalirudin
113,113,The risk or severity of hemorrhage,increase,Fluvoxamine,Bivalirudin
114,114,The risk or severity of hemorrhage,increase,Citalopram,Bivalirudin
115,115,The risk or severity of hemorrhage,increase,Fluoxetine,Bivalirudin
117,117,The risk or severity of hemorrhage,increase,Nefazodone,Bivalirudin
127,127,The risk or severity of bleeding and hemorrhage,increase,Amphetamine,Bivalirudin
131,131,The risk or severity of bleeding and hemorrhage,increase,Minaprine,Bivalirudin
134,134,The risk or severity of bleeding and hemorrhage,increase,Moclobemide,Bivalirudin
141,141,The risk or severity of bleeding,increase,Bivalirudin,Argatroban
144,144,The risk or severity of bleeding,increase,Bivalirudin,Acenocoumarol
150,150,The risk or severity of bleeding,increase,Bivalirudin,Bortezomib
151,151,The risk or severity of bleeding,increase,Bivalirudin,Cladribine
152,152,The risk or severity of bleeding,increase,Bivalirudin,Bexarotene
154,154,The risk or severity of bleeding,increase,Bivalirudin,Floxuridine
158,158,The risk or severity of bleeding,increase,Bivalirudin,Gemcitabine
160,160,The risk or severity of bleeding,increase,Bivalirudin,Epirubicin
161,161,The risk or severity of bleeding,increase,Bivalirudin,Chloramphenicol
163,163,The risk or severity of bleeding,increase,Bivalirudin,Cyclophosphamide
164,164,The risk or severity of bleeding,increase,Bivalirudin,Fluorouracil
165,165,The risk or severity of bleeding,increase,Bivalirudin,Methotrexate
166,166,The risk or severity of bleeding,increase,Bivalirudin,Carbamazepine
169,169,The risk or severity of bleeding,increase,Bivalirudin,Clofarabine
171,171,The risk or severity of bleeding,increase,Bivalirudin,Daunorubicin
172,172,The risk or severity of bleeding,increase,Bivalirudin,Irinotecan
173,173,The risk or severity of bleeding,increase,Bivalirudin,Etoposide
174,174,The risk or severity of bleeding,increase,Bivalirudin,Dacarbazine
177,177,The risk or severity of bleeding,increase,Bivalirudin,Azacitidine
178,178,The risk or severity of bleeding,increase,Bivalirudin,Cytarabine
179,179,The risk or severity of bleeding,increase,Bivalirudin,Doxorubicin
180,180,The risk or severity of bleeding,increase,Bivalirudin,Hydroxyurea
182,182,The risk or severity of bleeding,increase,Bivalirudin,Mercaptopurine
184,184,The risk or severity of bleeding,increase,Bivalirudin,Capecitabine
186,186,The risk or severity of bleeding,increase,Bivalirudin,Idarubicin
187,187,The risk or severity of bleeding,increase,Bivalirudin,Mitoxantrone
188,188,The risk or severity of bleeding,increase,Bivalirudin,Lomustine
190,190,The risk or severity of bleeding,increase,Bivalirudin,Docetaxel
191,191,The risk or severity of bleeding,increase,Bivalirudin,Decitabine
192,192,The risk or severity of bleeding,increase,Bivalirudin,Nelarabine
193,193,The risk or severity of bleeding,increase,Bivalirudin,Everolimus
194,194,The risk or severity of bleeding,increase,Bivalirudin,Ixabepilone
199,199,The risk or severity of bleeding,increase,Bivalirudin,Cabazitaxel
207,207,The therapeutic efficacy,decrease,Bivalirudin,Ceftriaxone
208,208,The therapeutic efficacy,decrease,Bivalirudin,Cefazolin
212,212,The risk or severity of adverse effects,increase,Azithromycin,Bivalirudin
214,214,The risk or severity of bleeding,increase,Erythromycin,Bivalirudin
220,220,The therapeutic efficacy,decrease,Bivalirudin,Bendroflumethiazide
671,671,The serum concentration,increase,Cyclosporine,Acetazolamide
672,672,The serum concentration,increase,Aliskiren,Cyclosporine
673,673,The serum concentration,increase,Ambrisentan,Cyclosporine
674,674,The serum concentration,increase,Cyclosporine,Amiodarone
675,675,the nephrotoxic activities,increase,Ketoconazole,Cyclosporine
676,676,The excretion,decrease,Atorvastatin,Cyclosporine
678,678,The serum concentration,increase,Bosentan,Cyclosporine
679,679,The serum concentration,increase,Cyclosporine,Bromocriptine
680,680,The serum concentration,decrease,Cyclosporine,Carbamazepine
681,681,The serum concentration,increase,Cyclosporine,Carvedilol
683,683,The serum concentration,increase,Cyclosporine,Chloramphenicol
684,684,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Glimepiride
689,689,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Loratadine
690,690,The serum concentration,increase,Cyclosporine,Crizotinib
691,691,The serum concentration,decrease,Cyclosporine,Cyclophosphamide
692,692,The serum concentration,increase,Digoxin,Cyclosporine
693,693,The serum concentration,increase,Dronedarone,Cyclosporine
695,695,The serum concentration,decrease,Cyclosporine,Enzalutamide
696,696,The serum concentration,increase,Etoposide,Cyclosporine
697,697,The serum concentration,increase,Everolimus,Cyclosporine
698,698,The serum concentration,increase,Cyclosporine,Ezetimibe
700,700,The serum concentration,increase,Fluvastatin,Cyclosporine
702,702,The serum concentration,decrease,Cyclosporine,Fosphenytoin
703,703,The therapeutic efficacy,decrease,Glyburide,Cyclosporine
704,704,The serum concentration,decrease,Cyclosporine,Griseofulvin
707,707,The serum concentration,increase,Lovastatin,Cyclosporine
