,d1,type,d2
0,539,1,350
1,539,3,286
2,539,2,149
3,539,0,280
4,539,0,43
5,539,3,567
6,539,2,331
7,539,3,210
8,539,1,217
9,539,1,399
10,539,0,91
11,539,0,256
12,539,2,386
13,539,2,429
14,539,0,569
15,539,0,9
16,539,12,281
17,250,3,539
18,465,2,539
19,120,0,539
20,439,0,539
21,262,2,539
22,203,0,539
23,416,0,539
24,389,2,539
25,25,3,539
26,60,0,539
27,74,2,539
28,146,0,539
29,143,3,539
30,129,0,539
31,481,2,539
32,63,0,539
33,126,1,539
34,54,2,539
35,114,2,539
36,397,2,539
37,58,0,539
38,484,3,539
39,413,3,539
40,442,2,539
41,13,3,539
42,136,2,539
43,215,1,539
44,400,2,539
45,489,0,2
46,241,2,2
47,378,2,2
48,277,2,2
49,152,2,2
50,381,0,2
51,179,2,2
52,355,2,2
53,254,2,2
54,33,2,2
55,373,2,2
56,139,2,2
57,312,2,2
58,494,0,2
59,12,2,2
60,350,2,2
61,231,2,2
62,493,2,2
63,384,2,2
64,100,2,2
65,42,2,2
66,24,2,2
67,342,2,2
68,286,3,2
69,132,2,2
70,149,2,2
71,365,2,2
72,248,2,2
73,506,2,2
74,212,2,2
75,411,2,2
76,280,2,2
77,527,2,2
78,449,2,2
79,519,2,2
80,542,2,2
81,462,2,2
82,422,2,2
83,80,0,2
84,183,2,2
85,43,2,2
86,567,2,2
87,490,2,2
88,198,2,2
89,395,0,2
90,520,2,2
91,128,2,2
92,433,2,2
93,246,2,2
94,317,2,2
95,508,2,2
96,415,2,2
97,536,0,2
98,4,2,2
99,339,0,2
100,434,0,2
101,31,2,2
102,210,3,2
103,438,2,2
104,532,2,2
105,187,0,2
106,95,2,2
107,188,2,2
108,452,2,2
109,491,0,2
110,217,2,2
111,172,2,2
112,171,2,2
113,289,0,2
114,18,2,2
115,300,2,2
116,347,2,2
117,296,0,2
118,364,2,2
119,224,2,2
120,327,2,2
121,313,2,2
122,558,2,2
123,106,2,2
124,399,0,2
125,91,0,2
126,148,2,2
127,480,2,2
128,133,2,2
129,392,2,2
130,379,38,2
131,2,0,288
132,2,0,256
133,2,2,366
134,2,2,470
135,2,2,429
136,2,0,569
137,2,2,109
138,2,2,124
139,2,0,9
140,2,3,250
141,2,2,559
142,2,2,526
143,2,2,325
144,2,2,465
145,2,2,36
146,2,2,257
147,2,2,161
148,2,2,554
149,2,2,117
150,2,2,279
151,2,0,214
152,2,2,194
153,2,2,140
154,2,2,426
155,2,2,352
156,2,2,195
157,2,0,73
158,2,18,130
159,2,18,108
160,2,0,120
161,2,2,439
162,2,2,202
163,2,2,406
164,2,1,290
165,2,0,90
166,2,2,323
167,2,2,492
168,2,2,354
169,2,2,87
170,2,0,314
171,2,2,62
172,2,2,49
173,2,2,262
174,2,0,203
175,2,2,209
176,2,2,416
177,2,2,104
178,2,2,461
179,2,2,543
180,2,2,389
181,2,2,332
182,2,2,359
183,2,3,25
184,2,2,466
185,2,0,548
186,2,2,234
187,2,2,94
188,2,0,60
189,2,2,84
190,2,0,72
191,2,2,14
192,2,2,533
193,2,2,299
194,2,2,464
195,2,2,150
196,2,2,103
197,2,2,321
198,2,2,403
199,2,2,345
200,2,2,498
201,2,2,459
202,2,0,98
203,2,0,26
204,2,2,213
205,2,2,127
206,2,0,353
207,2,2,105
208,2,2,118
209,2,2,3
210,2,2,170
211,2,2,173
212,2,2,110
213,2,2,420
214,2,2,96
215,2,0,137
216,2,2,159
217,2,2,55
218,2,2,146
219,2,2,408
220,2,3,143
221,2,2,145
222,2,2,370
223,2,2,196
224,2,0,56
225,2,0,486
226,2,0,560
227,2,0,0
228,2,0,142
229,2,2,269
230,2,2,283
231,2,0,501
232,2,2,204
233,2,2,48
234,2,2,512
235,2,2,541
236,2,2,101
237,2,0,27
238,2,2,377
239,2,2,291
240,2,2,528
241,2,2,326
242,2,2,46
243,2,2,372
244,2,2,272
245,2,2,371
246,2,2,129
247,2,2,78
248,2,2,220
249,2,0,368
250,2,2,115
251,2,2,549
252,2,2,481
253,2,0,63
254,2,0,126
255,2,2,54
256,2,2,419
257,2,2,315
258,2,0,114
259,2,0,293
260,2,2,211
261,2,2,566
262,2,2,185
263,2,2,199
264,2,0,376
265,2,2,22
266,2,2,304
267,2,2,89
268,2,2,504
269,2,2,305
270,2,2,455
271,2,2,59
272,2,2,358
273,2,2,311
274,2,2,99
275,2,0,556
276,2,2,397
277,2,2,226
278,2,0,58
279,2,3,484
280,2,2,251
281,2,0,333
282,2,2,425
283,2,2,44
284,2,2,278
285,2,2,233
286,2,2,383
287,2,2,180
288,2,0,57
289,2,2,340
290,2,2,16
291,2,0,175
292,2,2,112
293,2,2,67
294,2,2,7
295,2,2,238
296,2,0,297
297,2,2,81
298,2,0,417
299,2,2,338
300,2,2,35
301,2,2,107
302,2,0,514
303,2,2,435
304,2,2,562
305,2,2,442
306,2,2,270
307,2,2,357
308,2,2,550
309,2,3,13
310,2,2,138
311,2,0,316
312,2,2,509
313,2,2,41
314,2,0,144
315,2,2,11
316,2,2,151
317,2,2,38
318,2,2,398
319,2,2,401
320,2,2,215
321,2,2,400
322,2,2,351
323,236,9,489
324,236,4,361
325,236,10,472
326,236,1,277
327,236,9,152
328,236,13,348
329,236,7,360
330,236,7,507
331,236,7,225
332,236,7,312
333,236,13,28
334,236,7,494
335,236,7,478
336,236,1,37
337,236,29,12
338,236,15,350
339,236,7,336
340,236,3,285
341,236,0,493
342,236,1,100
343,236,1,423
344,236,9,342
345,236,3,286
346,236,20,538
347,236,9,375
348,236,29,248
349,236,7,506
350,236,1,75
351,236,32,280
352,236,25,88
353,236,9,519
354,236,9,265
355,236,29,302
356,236,7,448
357,236,7,405
358,236,20,168
359,236,7,462
360,236,7,422
361,236,7,183
362,236,1,43
363,236,7,567
364,236,25,427
365,236,9,495
366,236,20,511
367,236,1,474
368,236,2,433
369,236,33,263
370,236,1,193
371,236,7,339
372,236,7,31
373,236,1,396
374,236,7,188
375,236,17,452
376,236,9,491
377,236,1,475
378,236,13,217
379,236,1,171
380,236,0,18
381,236,7,347
382,236,10,296
383,236,1,546
384,236,1,148
385,236,1,480
386,236,1,15
387,236,1,133
388,236,20,392
389,236,1,366
390,236,1,429
391,236,13,569
392,236,1,526
393,236,7,257
394,236,13,77
395,236,2,182
396,236,20,499
397,236,7,247
398,236,9,195
399,236,1,341
400,236,9,412
401,236,13,130
402,236,13,108
403,236,20,120
404,236,7,439
405,236,13,111
406,236,1,245
407,236,13,354
408,236,1,87
409,236,7,314
410,236,17,62
411,236,22,209
412,236,13,416
413,236,20,119
414,236,17,104
415,236,7,557
416,236,7,92
417,236,1,69
418,236,20,79
419,236,1,294
420,236,7,548
421,236,7,178
422,236,33,121
423,236,20,234
424,236,1,216
425,236,9,26
426,236,20,189
427,236,9,127
428,236,7,230
429,236,13,237
430,236,12,105
431,118,13,236
432,420,2,236
433,96,7,236
434,137,9,236
435,408,29,236
436,154,1,236
437,370,13,236
438,56,10,236
439,486,10,236
440,560,10,236
441,142,10,236
442,283,20,236
443,116,7,236
444,501,20,236
445,512,1,236
446,101,3,236
447,40,7,236
448,131,0,236
449,326,9,236
450,78,1,236
451,545,29,236
452,32,7,236
453,368,9,236
454,549,7,236
455,481,2,236
456,240,1,236
457,303,13,236
458,344,1,236
459,267,1,236
460,5,1,236
461,63,7,236
462,293,9,236
463,211,17,236
464,199,9,236
465,176,7,236
466,22,1,236
467,304,17,236
468,89,2,236
469,223,29,236
470,504,2,236
471,556,9,236
472,226,7,236
473,334,9,236
474,484,3,236
475,251,9,236
476,333,7,236
477,425,13,236
478,259,9,236
479,278,9,236
480,160,13,236
481,383,9,236
482,19,13,236
483,16,7,236
484,430,9,236
485,67,20,236
486,242,1,236
487,7,7,236
488,243,7,236
489,255,33,236
490,81,9,236
491,417,3,236
492,35,13,236
493,107,2,236
494,374,13,236
495,270,13,236
496,138,7,236
497,155,7,236
498,509,1,236
499,41,9,236
500,206,9,236
501,162,1,236
502,11,9,236
503,38,9,236
504,401,7,236
505,215,2,236
506,444,13,236
507,351,7,236
508,361,1,489
509,241,11,489
510,152,1,489
511,485,1,489
512,225,9,489
513,312,9,489
514,37,9,489
515,350,0,489
516,153,19,489
517,342,1,489
518,286,3,489
519,132,11,489
520,375,1,489
521,149,8,489
522,6,11,489
523,519,1,489
524,265,31,489
525,418,1,489
526,448,1,489
527,405,4,489
528,310,1,489
529,422,9,489
530,207,40,489
531,183,9,489
532,502,11,489
533,495,1,489
534,424,1,489
535,474,4,489
536,339,1,489
537,518,0,489
538,31,1,489
539,210,8,489
540,188,9,489
541,452,9,489
542,491,1,489
543,475,9,489
544,217,2,489
545,18,1,489
546,437,0,489
547,163,1,489
548,505,1,489
549,266,1,489
550,256,0,489
551,20,1,489
552,324,0,489
553,9,31,489
554,281,11,489
555,250,3,489
556,36,19,489
557,208,1,489
558,463,1,489
559,497,1,489
560,195,1,489
561,73,11,489
562,412,1,489
563,108,2,489
564,202,4,489
565,318,0,489
566,262,19,489
567,402,30,489
568,92,1,489
569,385,34,489
570,394,19,489
571,294,9,489
572,548,4,489
