,Unnamed: 0,index,mechanism,action,drugA,drugB
0,0,0,The risk or severity of adverse effects,increase,Abemaciclib,Amiodarone
1,1,1,The serum concentration,decrease,Abemaciclib,Apalutamide
2,2,2,The serum concentration,increase,Abemaciclib,Aprepitant
3,3,3,The metabolism,decrease,Abemaciclib,Atomoxetine
4,4,4,The metabolism,decrease,Abemaciclib,Bortezomib
5,5,5,The serum concentration,decrease,Abemaciclib,Bosentan
6,6,6,The serum concentration,increase,Abemaciclib,Bosutinib
7,7,7,The serum concentration,decrease,Abemaciclib,Carbamazepine
8,8,8,The risk or severity of adverse effects,increase,Abemaciclib,Ceritinib
9,9,9,The risk or severity of adverse effects,increase,Abemaciclib,Clarithromycin
10,10,10,The metabolism,decrease,Abemaciclib,Clemastine
11,11,11,The metabolism,decrease,Abemaciclib,Clotrimazole
12,12,12,The serum concentration,increase,Abemaciclib,Colchicine
13,13,13,The serum concentration,increase,Abemaciclib,Conivaptan
14,14,14,The metabolism,decrease,Abemaciclib,Crizotinib
15,15,15,The metabolism,decrease,Abemaciclib,Cyclosporine
16,16,16,The serum concentration of the active metabolites,increase,Abemaciclib,Dabigatranetexilate
17,17,17,The serum concentration,decrease,Dabrafenib,Abemaciclib
18,18,18,The serum concentration,increase,Dasatinib,Abemaciclib
19,19,19,The metabolism,decrease,Dihydroergotamine,Abemaciclib
20,20,20,The metabolism,decrease,Diltiazem,Abemaciclib
21,21,21,The serum concentration,increase,Doxorubicin,Abemaciclib
22,22,22,The metabolism,decrease,Doxycycline,Abemaciclib
23,23,23,The metabolism,decrease,Dronedarone,Abemaciclib
24,24,24,The serum concentration,increase,Eltrombopag,Abemaciclib
25,25,25,The serum concentration,decrease,Enzalutamide,Abemaciclib
26,26,26,The metabolism,decrease,Erythromycin,Abemaciclib
27,27,27,The serum concentration,increase,Everolimus,Abemaciclib
28,28,28,The metabolism,decrease,Fluvoxamine,Abemaciclib
29,29,29,The serum concentration,decrease,Fosphenytoin,Abemaciclib
30,30,30,The metabolism,decrease,Imatinib,Abemaciclib
31,31,31,The serum concentration,increase,Isavuconazole,Abemaciclib
32,32,32,The metabolism,decrease,Isradipine,Abemaciclib
33,33,33,The risk or severity of adverse effects,increase,Itraconazole,Abemaciclib
34,34,34,The serum concentration,increase,Ivacaftor,Abemaciclib
35,35,35,The serum concentration,increase,Ketoconazole,Abemaciclib
36,36,36,The serum concentration,increase,Lorpiprazole,Abemaciclib
37,37,37,The metabolism,decrease,Lovastatin,Abemaciclib
38,38,38,The serum concentration,decrease,Lumacaftor,Abemaciclib
39,39,39,The serum concentration,decrease,Midostaurin,Abemaciclib
40,40,40,The serum concentration,increase,Mifepristone,Abemaciclib
41,41,41,The serum concentration,decrease,Mitotane,Abemaciclib
42,42,42,The serum concentration,increase,Naloxegol,Abemaciclib
43,43,43,The risk or severity of adverse effects,increase,Nefazodone,Abemaciclib
44,44,44,The serum concentration,increase,Netupitant,Abemaciclib
45,45,45,The metabolism,decrease,Aceclofenac,Abiraterone
46,46,46,The serum concentration,increase,Acenocoumarol,Abiraterone
47,47,47,The serum concentration,increase,Acetaminophen,Abiraterone
48,48,48,The serum concentration,increase,Acetylcholine,Abiraterone
49,49,49,The serum concentration,increase,Acetylsalicylicacid,Abiraterone
50,50,50,The metabolism,decrease,Adinazolam,Abiraterone
51,51,51,The serum concentration,increase,Agomelatine,Abiraterone
52,52,52,The serum concentration,increase,Ajmaline,Abiraterone
53,53,53,The serum concentration,increase,Albendazole,Abiraterone
54,54,54,The serum concentration,increase,Almotriptan,Abiraterone
55,55,55,The serum concentration,increase,Alogliptin,Abiraterone
56,56,56,The serum concentration,increase,Alosetron,Abiraterone
57,57,57,The serum concentration,increase,Alprenolol,Abiraterone
58,58,58,The metabolism,decrease,Ambrisentan,Abiraterone
59,59,59,The serum concentration,increase,Aminophylline,Abiraterone
60,60,60,The serum concentration,increase,Amiodarone,Abiraterone
61,61,61,The serum concentration,increase,Amitriptyline,Abiraterone
62,62,62,The serum concentration,increase,Amodiaquine,Abiraterone
63,63,63,The serum concentration,increase,Amoxapine,Abiraterone
64,64,64,The serum concentration,increase,Amphetamine,Abiraterone
65,65,65,The serum concentration,increase,Amsacrine,Abiraterone
66,66,66,The serum concentration,increase,Anagrelide,Abiraterone
67,67,67,The serum concentration,increase,Antipyrine,Abiraterone
68,68,68,The serum concentration,decrease,Apalutamide,Abiraterone
69,69,69,The serum concentration,increase,Apixaban,Abiraterone
70,70,70,The serum concentration,increase,Aprepitant,Abiraterone
71,71,71,The serum concentration,increase,Aprindine,Abiraterone
